name,price,capacity_w,capacity_va
APC SURT20KRMXLT,19850,16000,20000
CyberPower CP1500PFCLCD,219.95,1000,1500
APC SRT10KRMXLT,7429,10000,10000
CyberPower CP1500AVRLCD,184.95,900,1500
APC SRT10KXLI,,10000,10000
APC Back-UPS 1500,184.99,900,1500
CyberPower ST425,53.95,260,425
APC Back-UPS Pro 1500S,272.23,900,1500
CyberPower PR3000LCDSL,1173.95,2700,3000
APC SRT10KXLT,8198.99,10000,10000
APC SRT10KRMXLI,14500,10000,10000
CyberPower CP1500AVRLCD3,189.95,900,1500
CyberPower CP1000PFCLCD,164.95,600,1000
APC Back-UPS Pro 1500,286.16,865,1500
CyberPower PR2200LCDSL,855.95,1980,2070
CyberPower CP550SLG,69.95,330,550
CyberPower EC850LCD,109.95,510,850
APC Back-UPS Pro 1500VA for Gaming,247,900,1500
APC BR1500GI,536.24,865,1500
CyberPower PR2200LCD,1029.95,1980,2200
CyberPower AVRG750U,109.95,450,750
CyberPower CP350SLG,53.95,255,350
APC Back-UPS Pro 1000S,174.72,600,1000
APC Back-UPS Pro 700VA,149.99,420,700
CyberPower OR2200LCDRT2U,604.95,1320,2000
CyberPower PR1500LCD,545.95,1050,1500
CyberPower EC650LCD,87.95,390,650
APC Back-UPS Pro 1500VA,207.99,900,1500
HP AF461A,2945,4500,5000
CyberPower CP1350AVRLCD,189.99,810,1350
APC Back-UPS 850,141.41,510,850
Tripp Lite SU10000RT3U2TF,7717.6,8000,10000
APC Back-UPS Pro 1500VA for Gaming,273,900,1500
APC BE550G,90.99,330,550
CyberPower EC750G,98.95,450,750
CyberPower PR3000LCD,1319.95,2700,3000
APC SMX1500RMI2U,1308.49,1200,1500
CyberPower CP1350PFCLCD,199.95,810,1350
CyberPower OR2200LCDRTXL2U,822.95,1650,2190
CyberPower CP1200AVR,152.95,720,1200
CyberPower OR2200PFCRT2U,669.95,1320,2000
CyberPower LE1000DG,129.99,530,1000
CyberPower CP1300EPFCLCD,,780,1300
CyberPower CP1000AVRLCD,159.94,600,1000
APC SMX3000RMHV2U,2827.8,2700,3000
APC BE600M1,99.99,330,600
APC Back-UPS 1000,169.99,600,1000
Tripp Lite SMART1500PSGLCD,279.99,900,1500
APC BK325I,126.99,210,325
APC SMT3000I,2198,2700,3000
Tripp Lite OMNIVSINT1500XL,362.99,940,1500
APC SMT1500I,905,980,1500
APC SMX3000RMHV2UNC,3045,2700,3000
CyberPower CP850PFCLCD,154.94,510,850
CyberPower CP750LCD,98.95,420,750
APC BN1100M2,389,600,1100
APC Easy UPS BV1000I-MS 230V,,600,1000
PowerWalker Basic VI 2200 STL UK,,1320,2200
Tripp Lite SMX1500LCDT,263.8,900,1500
APC SRT8KXLI,7275,8000,8000
Tripp Lite SMART1500LCDT,219.79,900,1500
APC Back-UPS Pro 1350VA,175.44,810,1350
APC SRT5KXLI,6356,4500,5000
Tripp Lite SMX3000XLRT2UA,872.34,2700,3000
CyberPower CP900AVR,138.95,560,900
Tripp Lite SMART2200NET,1111.99,1700,2200
CyberPower AVRG900U,109.95,480,900
CyberPower LX1500GU-FC,,900,1500
APC BR500CI-AS,60.84,300,500
APC SMT2200I,1971.33,1980,2200
Tripp Lite SMT1500LCDT,252.99,900,1500
APC BE400-GR,136.77,240,400
APC Back-UPS 1350,189.99,810,1350
APC SRT5KXLT,5087.67,4250,5000
APC BE650G1,88.82,390,650
APC SRT6KXLT,5844.63,6000,6000
HP AF450A,195,950,1400
APC SRT8KRMXLI,,8000,8000
Tripp Lite SU6000RT4UTF,4313.76,5400,6000
CyberPower OR1500LCDRTXL2U,629.95,1125,1500
IBM 53959KX,,10000,11000
APC BX600CI-IN,,360,600
APC BE850G2,,450,850
APC SURTA3000XL,514,2100,3000
CyberPower GX1325U,219.99,810,1325
APC SMT2200US,1630,1980,2200
APC SMX3000LVNC,2146.33,2700,3000
Tripp Lite SU1500XLCD,966.6,1350,1500
Tripp Lite SMART3000RMXL2U,1421.37,2880,3000
CyberPower CP1500AVRT,194.95,900,1500
CyberPower CP850AVRLCD,149.95,510,850
CyberPower OL8000RT3U,3906.06,7200,8000
APC SMX3000HVNC,3242.96,2700,3000
CyberPower OL1500RTXL2U,1149.95,1350,1500
CyberPower PR5000LCDRTXL5U,3093.99,4000,5000
APC BR1500MS,,900,1500
CyberPower CP900EPFCLCD,,540,900
CyberPower BRG1000AVRLCD,162.94,600,1000
APC SMT2200,1000,1980,2200
CyberPower EC550G,73.95,330,550
APC SMT1500RM2U,755,1000,1440
APC SMT750I,559,500,750
APC SMX2000LV,1485,1800,1920
Tripp Lite INTERNET550U,76.14,300,550
APC BE350R,62.49,200,350
APC BK350EI,189.99,210,350
APC SMT3000,2198,2700,3000
CyberPower CP825LCD,135,450,825
CyberPower OL10000RT3U,7920,9000,10000
APC BR1000G,229,600,1000
APC SMT1500RMI2U,859.99,1000,1500
APC SMT3000R2X145,1804.97,2700,3000
APC SMX2000RMLV2UNC,2103.39,1800,1920
Tripp Lite SMART2200VS,1108.48,1600,2200
Tripp Lite SU3000XLCD,2073.3,2700,3000
CyberPower CP1500PFCLCDTAA,277.95,900,1500
CyberPower OL3000RTXL2U,2119.94,2700,3000
CyberPower CST1500S,,900,1500
APC Back-UPS Pro 1375VA,,810,1375
Tripp Lite OMNI1500LCDT,188.57,810,1500
Tripp Lite SMART1500RMXL2UA,849.51,1350,1500
APC BK650EI,179.99,400,650
APC SRT5KRMXLI,8120,4500,5000
Tripp Lite OMNIVS1500XL,292.38,940,1500
CyberPower OL2200RTXL2U,1619.95,1800,2200
Tripp Lite SM3000RM2UTAA,1399.99,2250,3000
APC BN1080G,,650,1080
APC BR1300G,229.99,780,1300
APC DLT1500I,,1000,1500
APC SMT1500RMI1U,1350.05,1000,1500
APC SMT1500US,,1000,1440
APC SMX2000RMLV2U,1500,1800,1920
APC SMX3000RMLV2UNC,2132.81,2700,3000
APC SUA5000RMT5U,4676.49,4000,5000
APC SURTD2200XLIM,2298.98,1540,2200
Tripp Lite SMART1500LCD,299.99,900,1500
Tripp Lite SMART1500RMXLN,1075,1350,1500
Tripp Lite SMART2200SLT,1052.94,1600,2200
Tripp Lite SMART3000NET,1508.37,2400,3000
Tripp Lite SU1500RTXLCD2U,1072.26,1350,1500
CyberPower BRG1500AVRLCD,,900,1500
CyberPower CP425SLG,,255,425
CyberPower PR1500LCDRTXL2U,,1350,1500
APC BE670M1,102.99,360,675
CyberPower CST135UC,,810,1350
Tripp Lite BC350,63.83,180,350
Tripp Lite SMART2200RMXL2U,1213.99,1920,2200
CyberPower GX1500U,222.99,900,1500
Tripp Lite SMARTINT2200VS,1052.43,1600,2200
APC SMC1500,536.15,900,1500
Tripp Lite ECO350UPS,69.48,180,350
APC Back-UPS Pro 1350S,229.29,810,1350
APC SC420I,261.02,260,420
APC SMT1500R2X122,935.35,1000,1500
APC SUA2200RM2U,1299.99,1980,2200
Tripp Lite SMART2200RM2U,1013.99,1920,2200
Tripp Lite SU2200XLCD,1345.47,1800,2200
APC SMT2200RMUS,1739.49,1980,2200
APC SMX3000HV,2617.46,2700,3000
APC SMX750I,,600,750
APC SUM3000RMXL2U,1799.99,2850,3000
Tripp Lite SMART1500,574.99,980,1500
Tripp Lite SU12000RT4U,,8400,12000
APC BR1500I,,865,1500
CyberPower CP800AVR,117.95,450,800
CyberPower CP825AVRLCD,120.95,450,825
CyberPower CPS1500AVR,459.95,950,1500
CyberPower OR1500LCDRM1U,556.95,900,1500
APC APC3IA,,2250,3000
APC BE400-CP,,240,400
APC BE550-CP,,330,550
APC BE550-GR,,330,550
APC BE650G1-CN,137.84,390,650
APC BE650R,115.38,390,650
APC BE750BB,149.99,450,750
APC BH500INET,199.99,300,500
APC BK500BLK,133.99,300,500
APC BK500EI,,300,500
APC BR1200GI,,720,1200
APC BR900GI,,540,900
APC BX1300G,,780,1300
APC BX1500G,,865,1500
APC SMC1500-2U,,900,1500
APC SMC1500I,1132.61,900,1500
APC SMC1500I-2U,865.99,900,1500
APC SMT1000I,714.05,670,1000
APC SMT1500,799.99,980,1500
APC SMT1500RMUS,899.99,1000,1500
APC SMT1500X413,771.68,980,1500
APC SMT2200RM2U,1799,1980,2200
APC SMT2200RMI2U,3440,1980,2200
APC SMX1500RM2U,,1200,1500
APC SMX2000LVNC,1599.91,1800,1920
APC SMX2200HV,2999.99,1980,2200
APC SMX2200RMLV2U,1430,1980,2200
APC SMX3000LV,1773.04,2700,3000
APC SMX3000RMLV2U,1599,2700,3000
APC SMX750,799,600,750
APC SRT6KRMXLT,6610,6000,6000
APC SRT8KRMXLT,6799,8000,8000
APC SUA3000,,2700,3000
APC SUA3000I,,2700,3000
APC SUA5000R5TXFMR,6325,4000,5000
APC SUA5000RMI5U,8475,4000,5000
APC SUA500PDRI-H,,325,500
APC SURTD5000RMXLP3U,6310,4000,5000
Tripp Lite AVR650UM,149.08,325,650
Tripp Lite AVR900U,110.99,480,900
Tripp Lite ECO550UPS,87.95,300,550
Tripp Lite ECO650UPSM,113.49,325,650
Tripp Lite ECO900UPSM,143.99,480,900
Tripp Lite INTERNET600U,97.99,300,600
Tripp Lite OMNISMART350HG,496.99,225,330
Tripp Lite OMNIVS1500,276.99,940,1500
Tripp Lite OMNIVSINT800,242.5,475,800
Tripp Lite SM2200RMNAFTA,,1600,2200
Tripp Lite SM2200RMXL2UTAA,1383.99,1600,2200
Tripp Lite SMART1050SLT,595.77,670,1050
Tripp Lite SMART1200LCD,330.23,700,1200
Tripp Lite SMART1300LCDT,214.66,720,1300
Tripp Lite SMART1500LCDXL,379.99,900,1500
Tripp Lite SMART1500RM2U,781.57,1350,1500
Tripp Lite SMART3000RM2UN,1935.81,2250,3000
Tripp Lite SU6000RT4UHV,3861.99,5400,6000
Tripp Lite SU8000RT3UG,6244.7,6400,8000
Tripp Lite SUINT2000XL,,1400,2000
Tripp Lite SU1500XL,918.16,1200,1500
Tripp Lite SMARTINT3000VS,1480.74,2250,3000
Tripp Lite SMX1500XLRT2U,925.83,1350,1500
Tripp Lite SMART3000RMXLN,1722.67,2880,3000
Tripp Lite SMART3000VS,1494.99,2250,3000
APC BK350,99.99,210,350
APC SUA1500,,980,1440
APC SUA750RMI1U,,480,750
CyberPower CP685AVRLCD,115.95,390,685
CyberPower OR1500LCDRT2U,495.95,900,1500
CyberPower OR2200PFCRT2Ua,,1300,2200
CyberPower PR1000LCDRT1U,604.95,800,1000
CyberPower PR1000LCDRTXL2UA,,750,1000
CyberPower PR1000LCDTAA,,700,1000
CyberPower PR2200LCDRT2U,,1600,2170
CyberPower PR2200LCDRT2UTAA,,1600,2170
CyberPower PR6000LCDRTXL5U,,4500,6000
CyberPower SE425G,,255,425
IBM 53952KX,,1920,2200
IBM 53953KX,,2700,3000
Lenovo 33L3478,,,675
Lenovo 55943AX,1621.85,2700,3000
APC BE325-GR,246.99,185,325
APC SMX1500RM2UNC,2100,1200,1500
Tripp Lite OMNI650LCD,160.41,350,650
Tripp Lite SMART1000LCD,174.29,500,1000
Tripp Lite SMART5000XFMRXL,3373.05,3750,5000
CyberPower CP600LCD,87.95,340,600
CyberPower OR500LCDRM1U,199.95,300,500
APC BE400-FR,237,240,400
APC SC420,,260,420
APC SC450RMI1U,369.99,280,450
APC SMC1000I,963,600,1000
APC SMT3000RMT2U,2248.99,2700,3000
APC SMX1500RMI2UNC,2100,1200,1500
APC SRT5KRMXLT,4654.97,4250,5000
APC SURTA3000RMXL3U,2538.48,2100,3000
Tripp Lite AVRX750U,211.51,450,750
Tripp Lite INTERNET750U,107.72,450,750
Tripp Lite SMART2200RMXLN,1518.09,1920,2200
Tripp Lite SMART2500XLHG,2392,1920,2200
Tripp Lite SU2200RTXLCD2U,1520.18,1800,2200
Tripp Lite SU2200XLA,,1600,2200
Tripp Lite SU10KRT3UHV,6499,7000,10000
Tripp Lite SU12000RT4UHW,,8400,12000
Tripp Lite SMART750RM1U,539.99,600,750
Tripp Lite SMART550USB,158.63,300,550
CyberPower CP1000PFCLCDTAA,201.95,600,1000
Tripp Lite SM1000RM1UTAA,732.48,800,1000
Tripp Lite SMC15002URM,676.39,1000,1500
Tripp Lite SMC10002URM,475.66,700,1000
APC SMT1000,684.03,670,1000
APC SMT1000J,,670,1000
APC BE350G,202.95,200,350
APC BE350G-CN,,200,350
APC BE450G,,257,450
APC BE450G-CN,,257,450
APC BE325,,185,325
APC BE325-LM,,185,325
APC BE325R,,185,325
APC BE350,,225,350
APC BE350C,,200,350
APC BE350G-LM,,200,350
APC BE350R-CN,,200,350
APC BE350U-CN,,200,350
APC BE450G-LM,,257,450
APC BE500R,,300,500
APC BE500R-CN,,300,500
APC BE500U-CN,,300,500
APC BE525-RS,,300,525
APC BE550-UK,,330,700
APC BF350U,,225,350
APC BE550G-CN,,330,550
APC BE550G-GR,,330,550
APC BE550G/LM,108.99,330,550
APC BE550R,,330,550
APC BE550R-CN,,330,550
APC BE600-LM,,360,600
APC BE650BB,,390,650
APC BE650G,,390,650
APC BE650G1-LM,134.97,390,650
APC BE650G-CN,,390,650
APC BE650G-LM,,390,650
APC BE650MC,,390,650
APC BE650R-CN,,390,650
APC BE700-AZ,,405,700
APC BE700-CP,,405,700
APC BE700G-GR,,405,700
APC BE700-GR,,405,700
APC BE700G-UK,,405,700
APC BE700-UK,,405,700
APC BE750BB-CN,,450,750
APC BE750BBX450,,450,750
APC BE750G,,450,750
APC BE750G-CN,,450,750
APC BE750G-LM,,450,750
APC BF350-FR,,225,350
APC BF350-GR,,225,350
APC BF500,,325,500
APC BF500-AZ,,325,500
APC BF500-GR,,325,500
APC BF500U,,325,500
APC BF500-UK,,325,500
APC BG500,,300,500
APC BGE90M,,75,125
APC BH500NET,,300,500
APC BK200,,130,200
APC BK300C,,180,300
APC BK300MI,,180,300
APC BK400,,250,400
APC BK450,,300,450
APC BK500JP,,300,500
APC BK500JS,,300,500
APC BK500MI,,300,500
APC BK600,,400,600
APC BN4001,,257,450
